tip	genome_id_or_accession	origin	culture_status	species	clade	genome_size_Mb	GC_pct	coding_density_pct	acidic_residues_pct	urease	ectoine_synthase	rhodopsin	salinity_habitat	completeness_pct	contamination_pct	biome	ncbi_organism_name	ncbi_genus	pathogenicity	coding_density_pct_uniform_prodigal	n_contigs	assembly_status	completeness_ncbi_checkm_pct	contamination_ncbi_checkm_pct	completeness_source	checkm2_this_study_completeness_pct	checkm2_this_study_contamination_pct	completeness_used_pct
RS_GCF_002591975.1	GCF_002591975.1	GTDB reference	Cultured isolate	Mycobacterium neglectum	RGM (large-genome)	6.209	65.33	91.72	11.88	present	present	absent					Mycobacterium neglectum	Mycobacterium	non_pathogen	93.18	123	draft	99.33	1.61	complete by definition (isolate)			100
RS_GCF_000230895.2	GCF_000230895.2	GTDB reference	Cultured isolate	Mycobacterium rhodesiae_A	RGM (large-genome)	6.416	65.49	91.03	11.94	present	absent	absent					Mycolicibacterium rhodesiae NBB3	Mycolicibacterium	non_pathogen	92.85	1	closed	97.98	0.38	complete by definition (isolate)			100
RS_GCF_010726085.1	GCF_010726085.1	GTDB reference	Cultured isolate	Mycobacterium moriokaense	RGM (large-genome)	6.226	66.01	91.42	11.97	present	absent	absent					Mycolicibacterium moriokaense	Mycolicibacterium	non_pathogen	93.02	1	closed	99.66	1.26	complete by definition (isolate)			100
RS_GCF_025822765.1	GCF_025822765.1	GTDB reference	Cultured isolate	Mycobacterium barrassiae	RGM (large-genome)	5.9	65.9	91.71	11.96	present	absent	absent					Mycobacterium barrassiae	Mycobacterium	non_pathogen	92.78	49	draft	99.33	0.44	complete by definition (isolate)			100
GB_GCA_900637135.1	GCA_900637135.1	GTDB reference	Cultured isolate	Mycobacterium neumannii	RGM (large-genome)	5.396	66.79	92.71	12.05	present	present	absent					Mycolicibacterium flavescens	Mycolicibacterium	non_pathogen	92.96	1	closed	99.94		complete by definition (isolate)			100
RS_GCF_002245535.1	GCF_002245535.1	GTDB reference	Cultured isolate	Mycobacterium lehmannii	RGM (large-genome)	5.496	66.73	91.21	12.04	present	present	absent					Mycobacterium lehmannii	Mycobacterium	non_pathogen	92.47	76	draft	99.86	1.19	complete by definition (isolate)			100
RS_GCF_001500025.1	GCF_001500025.1	GTDB reference	MAG / uncultured	Mycobacterium sp001500025	RGM (large-genome)	5.382	67.12	92.13	12.06	present	present	absent					Mycobacterium sp. IS-1590	not validly named	non_pathogen	93.48	51	draft	99.9	0.48	CheckM2 v1.0.1 (this study)	100	0.07	100
RS_GCF_001500045.1	GCF_001500045.1	GTDB reference	MAG / uncultured	Mycobacterium sp001500045	RGM (large-genome)	5.439	66.85	91.77	12.06	present	present	absent					Mycobacterium sp. GA-1199	not validly named	non_pathogen	93.13	56	draft	99.61	0.48	CheckM2 v1.0.1 (this study)	100	0.27	100
RS_GCF_001570485.1	GCF_001570485.1	GTDB reference	NTM (isolate)	Mycobacterium novocastrense	RGM (large-genome)	6.228	66.84	90.33	11.94	present	present	absent					Mycolicibacterium novocastrense	Mycolicibacterium	opportunistic_pathogen	91.94	119	draft	99.94	1.09	complete by definition (isolate)			100
RS_GCF_001499905.1	GCF_001499905.1	GTDB reference	MAG / uncultured	Mycobacterium sp001499905	RGM (large-genome)	4.812	66.78	91.44	12.12	present	present	absent					Mycobacterium sp. GA-1285	not validly named	non_pathogen	92.79	55	draft	98.81		CheckM2 v1.0.1 (this study)	100	0	100
RS_GCF_001050015.1	GCF_001050015.1	GTDB reference	Cultured isolate	Mycobacterium malmesburyense	RGM (large-genome)	5.471	67.27	93.42	12.08	present	present	absent					Mycolicibacterium malmesburyense	Mycolicibacterium	non_pathogen		324	draft			complete by definition (isolate)	99.99	0.06	100
RS_GCF_001050035.1	GCF_001050035.1	GTDB reference	Cultured isolate	Mycobacterium komanii	RGM (large-genome)	5.379	67.32	93.81	12.05	present	present	absent					Mycolicibacterium komanii	Mycolicibacterium	non_pathogen		65	draft			complete by definition (isolate)	100	0	100
RS_GCF_001665535.1	GCF_001665535.1	GTDB reference	MAG / uncultured	Mycobacterium sp001665535	RGM (large-genome)	5.553	67.16	92.39	12.09	present	present	absent					Mycobacterium sp. 852002-51961_SCH5331710	not validly named	non_pathogen	93.62	135	draft	99.81	0.89	CheckM2 v1.0.1 (this study)	100	0.01	100
RS_GCF_001668575.1	GCF_001668575.1	GTDB reference	MAG / uncultured	Mycobacterium sp001668575	RGM (large-genome)	5.481	67.01	91.51	12.03	present	present	absent					Mycobacterium sp. 1164985.4	not validly named	non_pathogen	93.31	117	draft	99.38	0.49	CheckM2 v1.0.1 (this study)	99.99	0.14	99.99
RS_GCF_003284965.1	GCF_003284965.1	GTDB reference	MAG / uncultured	Mycobacterium sp003284965	RGM (large-genome)	5.329	66.66	90.68	11.9	absent	present	absent					Mycolicibacterium sp. GF69	not validly named	non_pathogen	91.96	107	draft	99.31	0.22	CheckM2 v1.0.1 (this study)	99.99	0.12	99.99
RS_GCF_035918395.1	GCF_035918395.1	GTDB reference	MAG / uncultured	Mycobacterium sp035918395	RGM (large-genome)	5.097	66.86	89.7	11.92	absent	present	absent					Mycolicibacterium sp. ND9-15	not validly named	non_pathogen	91.93	1	closed	99.25		complete by definition (closed)			100
RS_GCF_001499855.1	GCF_001499855.1	GTDB reference	MAG / uncultured	Mycobacterium sp001499855	RGM (large-genome)	5.148	66.92	91.2	11.98	present	present	absent					Mycobacterium sp. GA-0227b	not validly named	non_pathogen	92.77	34	draft	99.33	0.61	CheckM2 v1.0.1 (this study)	99.99	0	99.99
RS_GCF_001500065.1	GCF_001500065.1	GTDB reference	MAG / uncultured	Mycobacterium sp001500065	RGM (large-genome)	5.169	67.02	89.06	12.01	present	present	absent					Mycobacterium sp. IS-3022	not validly named	non_pathogen	93.26	51	draft	100	2.83	CheckM2 v1.0.1 (this study)	99.99	0.17	99.99
RS_GCF_010731795.1	GCF_010731795.1	GTDB reference	Cultured isolate	Mycobacterium celeriflavum	RGM (large-genome)	5.024	66.88	90.21	12.02	present	present	absent					Mycolicibacterium celeriflavum	Mycolicibacterium	non_pathogen	92.99	1	closed	99.48	0.47	complete by definition (isolate)			100
RS_GCF_001672895.1	GCF_001672895.1	GTDB reference	MAG / uncultured	Mycobacterium sp001672895	RGM (large-genome)	4.62	67.44	91.53	11.91	absent	absent	absent					Mycobacterium sp. E740	not validly named	non_pathogen	93.86	228	draft	98.84	0.93	CheckM2 v1.0.1 (this study)	100	0.11	100
RS_GCF_001583415.1	GCF_001583415.1	GTDB reference	Cultured isolate	Mycobacterium phlei	RGM (large-genome)	5.35	69.44	91.36	12.01	present	present	absent					Mycolicibacterium phlei	Mycolicibacterium	non_pathogen	93.28	1	closed	98.9	0.46	complete by definition (isolate)			100
spire_mag_01585204.fa	spire_mag_01585204	SPIRE MAG	MAG / uncultured	Mycobacterium phlei	RGM (large-genome)	5.061	69.35	93.06	11.97	present	present	absent		90.27	0.8	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	93.06	136	draft			CheckM2 v1.0.1 (this study)	89.9	0.86	89.9
spire_mag_01586430.fa	spire_mag_01586430	SPIRE MAG	MAG / uncultured	Mycobacterium phlei	RGM (large-genome)	5.645	69.39	93.47	11.97	present	present	absent		100.0	3.99	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	93.47	152	draft			CheckM2 v1.0.1 (this study)	100	3.99	100
spire_mag_01586673.fa	spire_mag_01586673	SPIRE MAG	MAG / uncultured	Mycobacterium phlei	RGM (large-genome)	5.413	69.5	93.6	11.94	present	present	absent		100.0	1.76	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	93.6	140	draft			CheckM2 v1.0.1 (this study)	99.99	1.76	99.99
RS_GCF_025822705.1	GCF_025822705.1	GTDB reference	Cultured isolate	Mycobacterium flavescens	RGM (large-genome)	5.974	68.49	91.73	11.99	present	present	absent					Mycolicibacterium flavescens	Mycolicibacterium	non_pathogen	92.8	47	draft	100	0.56	complete by definition (isolate)			100
RS_GCF_900108565.1	GCF_900108565.1	GTDB reference	Cultured isolate	Mycobacterium rutilum	RGM (large-genome)	5.988	68.42	91.54	11.87	present	present	absent					Mycolicibacterium rutilum	Mycolicibacterium	non_pathogen	93.13	1	closed	99.94	1.15	complete by definition (isolate)			100
RS_GCF_022317005.1	GCF_022317005.1	GTDB reference	MAG / uncultured	Mycobacterium sp022317005	RGM (large-genome)	5.172	67.74	91.11	11.85	present	present	absent					Mycobacterium sp. IDR2000157661	not validly named	non_pathogen	92.83	2	draft	98.89	0.21	CheckM2 v1.0.1 (this study)	100	0	100
RS_GCF_039871645.1	GCF_039871645.1	GTDB reference	MAG / uncultured	Mycobacterium sp039871645	RGM (large-genome)	5.221	68.28	91.75	11.9	present	absent	absent					Mycobacterium sp. B14F4	not validly named	non_pathogen	93.08	20	draft	99.67	0.67	CheckM2 v1.0.1 (this study)	99.99	0.17	99.99
RS_GCF_004014805.1	GCF_004014805.1	GTDB reference	NTM (isolate)	Mycobacterium elephantis	RGM (large-genome)	5.47	67.62	91.5	12.02	present	present	absent					Mycolicibacterium elephantis DSM 44368	Mycolicibacterium	opportunistic_pathogen	92.87	91	draft	99.91	1.22	complete by definition (isolate)			100
RS_GCF_010725725.1	GCF_010725725.1	GTDB reference	Cultured isolate	Mycobacterium pulveris	RGM (large-genome)	5.485	67.52	92.31	11.92	present	present	absent					Mycolicibacterium pulveris	Mycolicibacterium	non_pathogen	93.28	1	closed	99.22	1.19	complete by definition (isolate)			100
RS_GCF_019645835.1	GCF_019645835.1	GTDB reference	Cultured isolate	Mycobacterium holsaticum	RGM (large-genome)	5.624	67.23	92.76	11.8	present	present	absent					Mycolicibacterium holsaticum DSM 44478 = JCM 12374	Mycolicibacterium	non_pathogen	93.46	1	closed	99.66	0.07	complete by definition (isolate)			100
spire_mag_00907393.fa	spire_mag_00907393	SPIRE MAG	MAG / uncultured	novel sp.	RGM (large-genome)	4.755	68.85	93.76	11.88	present	absent	absent		95.46	0.91	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	93.76	416	draft			CheckM2 v1.0.1 (this study)	95.56	0.95	95.56
RS_GCF_025345615.1	GCF_025345615.1	GTDB reference	Cultured isolate	Mycobacterium deserti	RGM (large-genome)	5.633	66.53	92.21	11.88	present	absent	absent					Mycobacterium deserti	Mycobacterium	non_pathogen	93.41	14	draft	99.63	1.44	complete by definition (isolate)			100
GB_GCA_021154745.1	GCA_021154745.1	GTDB reference	MAG / uncultured	Mycobacterium sp021154745	RGM (large-genome)	5.634	65.81	90.76	11.41	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	90.64	578	draft	75.92	6.71	CheckM2 v1.0.1 (this study)	80.23	3.12	80.23
GB_GCA_032161985.1	GCA_032161985.1	GTDB reference	MAG / uncultured	Mycobacterium sp032161985	RGM (large-genome)	5.12	65.59	91.67	11.6	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	91.83	908	draft	71.16	3.25	CheckM2 v1.0.1 (this study)	71.99	0.33	71.99
GB_GCA_032230775.1	GCA_032230775.1	GTDB reference	MAG / uncultured	Mycobacterium sp032230775	RGM (large-genome)	5.315	65.61	91.74	11.61	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	92.03	923	draft	83.4	3.42	CheckM2 v1.0.1 (this study)	82.39	3.95	82.39
RS_GCF_003201655.1	GCF_003201655.1	GTDB reference	Cultured isolate	Mycobacterium moriokaense_A	RGM (large-genome)	6.421	65.18	89.9	11.6	present	absent	absent					Mycolicibacterium moriokaense	Mycolicibacterium	non_pathogen	91.29	83	draft	99.89	2.5	complete by definition (isolate)			100
spire_mag_00560387.fa	spire_mag_00560387	SPIRE MAG	MAG / uncultured	novel sp.	RGM (large-genome)	7.279	65.36	91.93	11.58	present	absent	absent	medium salinity	99.97	2.6	aquatic	not applicable (MAG)	not applicable (MAG)	MAG	91.93	581	draft			CheckM2 v1.0.1 (this study)	99.93	2.49	99.93
GB_GCA_032162325.1	GCA_032162325.1	GTDB reference	MAG / uncultured	Mycobacterium sp032162325	RGM (large-genome)	5.496	66.08	89.76	11.63	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	89.87	975	draft			CheckM2 v1.0.1 (this study)	77.84	5.18	77.84
RS_GCF_025965975.1	GCF_025965975.1	GTDB reference	MAG / uncultured	Mycobacterium sp025965975	RGM (large-genome)	7.437	65.77	84.12	11.4	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	88.44	449	draft	92.69	6.46	CheckM2 v1.0.1 (this study)	93.79	4.65	93.79
GB_GCA_035492865.1	GCA_035492865.1	GTDB reference	MAG / uncultured	Mycobacterium sp035492865	RGM (large-genome)	5.2	66.08	93.66	11.64	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	94.54	601	draft			CheckM2 v1.0.1 (this study)	81.2	1.16	81.2
RS_GCF_000328565.1	GCF_000328565.1	GTDB reference	MAG / uncultured	Mycobacterium sp000328565	RGM (large-genome)	7.222	65.14	88.97	11.61	present	absent	absent					Mycobacterium sp. JS623	not validly named	non_pathogen	91.09	4	draft	98.72	2.2	CheckM2 v1.0.1 (this study)	100	0.44	100
RS_GCF_014873705.1	GCF_014873705.1	GTDB reference	MAG / uncultured	Mycobacterium sp014873705	RGM (large-genome)	7.027	65.43	92.63	11.57	present	absent	absent					Mycobacterium sp. OAS707	not validly named	non_pathogen	93.4	9	draft	99.33	1.89	CheckM2 v1.0.1 (this study)	100	0.24	100
spire_mag_00488916.fa	spire_mag_00488916	SPIRE MAG	MAG / uncultured	novel sp.	RGM (large-genome)	7.072	65.3	93.12	11.55	present	absent	absent		93.81	3.75	host-associated	not applicable (MAG)	not applicable (MAG)	MAG	93.12	566	draft			CheckM2 v1.0.1 (this study)	93.22	3.87	93.22
RS_GCF_001667505.1	GCF_001667505.1	GTDB reference	MAG / uncultured	Mycobacterium sp001667505	RGM (large-genome)	6.8	66.16	91.75	11.55	present	absent	absent					Mycobacterium sp. ACS1612	not validly named	non_pathogen	93.14	76	draft	99.29	2.73	CheckM2 v1.0.1 (this study)	100	0.11	100
RS_GCF_900240945.1	GCF_900240945.1	GTDB reference	MAG / uncultured	Mycobacterium sp900240945	RGM (large-genome)	7.306	66.35	91.79	11.53	present	absent	absent					Mycobacterium sp. 3519A	not validly named	non_pathogen	93.53	14	draft	99.17	3.5	CheckM2 v1.0.1 (this study)	100	0.53	100
GB_GCA_035634855.1	GCA_035634855.1	GTDB reference	MAG / uncultured	Mycobacterium sp035634855	RGM (large-genome)	5.313	66.02	87.22	11.56	absent	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	90.36	683	draft	79.54	4.63	CheckM2 v1.0.1 (this study)	77.15	5.07	77.15
RS_GCF_035491595.1	GCF_035491595.1	GTDB reference	MAG / uncultured	Mycobacterium sp035491595	RGM (large-genome)	9.283	65.66	83.68	11.57	absent	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	88.2	874	draft	95.3	9.57	CheckM2 v1.0.1 (this study)	100	7.71	100
GB_GCA_036263935.1	GCA_036263935.1	GTDB reference	MAG / uncultured	Mycobacterium sp036263935	RGM (large-genome)	3.764	66.55	91.79	11.66	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	93.22	251	draft	89.46	2.74	CheckM2 v1.0.1 (this study)	82.21	2.36	82.21
RS_GCF_035649695.1	GCF_035649695.1	GTDB reference	MAG / uncultured	Mycobacterium sp035649695	RGM (large-genome)	6.74	65.58	89.11	11.62	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	92.38	806	draft	89.95	5.72	CheckM2 v1.0.1 (this study)	94.32	2.21	94.32
spire_mag_01100050.fa	spire_mag_01100050	SPIRE MAG	MAG / uncultured	Mycobacterium sp035649695	RGM (large-genome)	7.133	65.48	91.87	11.53	present	absent	absent		91.66	4.22	host-associated	not applicable (MAG)	not applicable (MAG)	MAG	91.87	664	draft			CheckM2 v1.0.1 (this study)	91.79	4.24	91.79
RS_GCF_035274705.1	GCF_035274705.1	GTDB reference	MAG / uncultured	Mycobacterium sp035274705	RGM (large-genome)	5.767	65.26	90.56	11.69	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	92.39	146	draft	98.74	1.36	CheckM2 v1.0.1 (this study)	99.94	0.36	99.94
spire_mag_00079100.fa	spire_mag_00079100	SPIRE MAG	MAG / uncultured	Mycobacterium sp035274705	RGM (large-genome)	5.813	65.25	92.38	11.6	present	absent	absent		96.06	0.19	host-associated	not applicable (MAG)	not applicable (MAG)	MAG	92.38	155	draft			CheckM2 v1.0.1 (this study)	95.86	0.18	95.86
spire_mag_00080611.fa	spire_mag_00080611	SPIRE MAG	MAG / uncultured	Mycobacterium sp035274705	RGM (large-genome)	5.644	65.3	92.47	11.58	present	absent	absent		95.1	2.62	host-associated	not applicable (MAG)	not applicable (MAG)	MAG	92.47	332	draft			CheckM2 v1.0.1 (this study)	95.42	2.61	95.42
GB_GCA_035253445.1	GCA_035253445.1	GTDB reference	MAG / uncultured	Mycobacterium sp035253445	RGM (large-genome)	6.051	65.33	89.31	11.63	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	91.2	1085	draft			CheckM2 v1.0.1 (this study)	86.49	5.22	86.49
RS_GCF_035697385.1	GCF_035697385.1	GTDB reference	MAG / uncultured	Mycobacterium sp035697385	RGM (large-genome)	6.155	65.59	91.43	11.74	present	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	93.09	387	draft	98.33	2.99	CheckM2 v1.0.1 (this study)	99.28	0.91	99.28
GB_GCA_040511335.1	GCA_040511335.1	GTDB reference	MAG / uncultured	Mycobacterium sp040511335	RGM (large-genome)	2.386	67.53	87.72	11.75	absent	absent	absent					Mycobacterium sp.	not validly named	non_pathogen	92	201	draft	68.7	2.26	CheckM2 v1.0.1 (this study)	61.76	0.09	61.76
RS_GCF_002838065.1	GCF_002838065.1	GTDB reference	Cultured isolate	Mycobacterium hubeiense	RGM (large-genome)	5.576	66.51	89.59	11.85	present	absent	absent					Mycobacterium hubeiense	Mycobacterium	non_pathogen	92.49	172	draft	99.47	1.36	complete by definition (isolate)			100
RS_GCF_900187065.1	GCF_900187065.1	GTDB reference	Cultured isolate	Mycobacterium thermoresistibile	RGM (large-genome)	4.951	68.98	90.52	12.05	present	present	absent					Mycolicibacterium thermoresistibile	Mycolicibacterium	non_pathogen	92.05	1	closed	99.4	0.82	complete by definition (isolate)			100
RS_GCF_900603025.1	GCF_900603025.1	GTDB reference	Cultured isolate	Mycobacterium hassiacum	RGM (large-genome)	5.269	69.3	89.35	11.94	present	present	absent					Mycolicibacterium hassiacum DSM 44199	Mycolicibacterium	non_pathogen	91.76	1	closed	99.83	0.32	complete by definition (isolate)			100
spire_mag_00907130.fa	spire_mag_00907130	SPIRE MAG	MAG / uncultured	Mycobacterium hassiacum	RGM (large-genome)	4.859	69.7	92.33	11.84	present	present	absent		99.6	3.84	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	92.33	135	draft			CheckM2 v1.0.1 (this study)	99.63	3.87	99.63
RS_GCF_937941905.1	GCF_937941905.1	GTDB reference	MAG / uncultured	Mycobacterium sp937941905	RGM (large-genome)	4.047	72.12	92.15	11.71	present	absent	absent					uncultured Mycolicibacterium sp.	not validly named	non_pathogen	93.61	178	draft	97.31	0.39	CheckM2 v1.0.1 (this study)	99.8	0.68	99.8
GB_GCA_001942045.1	GCA_001942045.1	GTDB reference	Cultured isolate	Mycobacterium porcinum_A	RGM (large-genome)	6.24	66.78	91.06	11.64	present	present	absent					Mycolicibacterium porcinum	Mycolicibacterium	non_pathogen	92.95	110	draft	99.57	0.8	complete by definition (isolate)			100
RS_GCF_010731295.1	GCF_010731295.1	GTDB reference	NTM (isolate)	Mycobacterium boenickei	RGM (large-genome)	6.586	66.83	92.06	11.61	present	present	absent					Mycolicibacterium boenickei	Mycolicibacterium	opportunistic_pathogen	92.82	2	draft	99.83	0.79	complete by definition (isolate)			100
RS_GCF_025823105.1	GCF_025823105.1	GTDB reference	NTM (isolate)	Mycobacterium porcinum	RGM (large-genome)	6.963	66.74	91.37	11.55	present	present	absent					Mycolicibacterium porcinum	Mycolicibacterium	opportunistic_pathogen	92.94	36	draft	99.14	1.67	complete by definition (isolate)			100
RS_GCF_036235365.1	GCF_036235365.1	GTDB reference	MAG / uncultured	Mycobacterium sp036235365	RGM (large-genome)	6.21	66.64	92.55	11.7	present	present	absent					Mycolicibacterium sp. 050232	not validly named	non_pathogen	92.99	37	draft	99.83	1.45	CheckM2 v1.0.1 (this study)	100	0.02	100
RS_GCF_001245615.1	GCF_001245615.1	GTDB reference	NTM (isolate)	Mycobacterium neworleansense	RGM (large-genome)	6.287	66.85	91.43	11.61	present	present	absent					Mycolicibacterium neworleansense	Mycolicibacterium	opportunistic_pathogen	93.16	9	draft	97.07	1.31	complete by definition (isolate)			100
GB_GCA_040704635.1	GCA_040704635.1	GTDB reference	MAG / uncultured	Mycobacterium sp040704635	RGM (large-genome)	6.956	66.27	90.93	11.63	present	present	absent					Mycobacterium sp. NPDC049093	not validly named	non_pathogen	92.53	32	draft	99.89	1.94	CheckM2 v1.0.1 (this study)	100	0	100
RS_GCF_001665625.1	GCF_001665625.1	GTDB reference	Cultured isolate	Mycobacterium peregrinum_B	RGM (large-genome)	6.751	66.28	90.94	11.61	present	present	absent					Mycolicibacterium peregrinum	Mycolicibacterium	non_pathogen	92.57	206	draft	99.14	1.33	complete by definition (isolate)			100
spire_mag_01197245.fa	spire_mag_01197245	SPIRE MAG	MAG / uncultured	Mycobacterium peregrinum_B	RGM (large-genome)	6.663	66.32	92.46	11.57	present	present	absent		95.35	2.22		not applicable (MAG)	not applicable (MAG)	MAG	92.46	530	draft			CheckM2 v1.0.1 (this study)	95.61	2.33	95.61
RS_GCF_001665785.1	GCF_001665785.1	GTDB reference	Cultured isolate	Mycobacterium peregrinum_A	RGM (large-genome)	6.795	66.38	92.18	11.57	present	present	absent					Mycolicibacterium peregrinum	Mycolicibacterium	non_pathogen	92.99	51	draft	100	1.13	complete by definition (isolate)			100
RS_GCF_002102345.1	GCF_002102345.1	GTDB reference	NTM (isolate)	Mycobacterium peregrinum	RGM (large-genome)	7.05	66.26	91.67	11.64	present	present	absent					Mycolicibacterium peregrinum	Mycolicibacterium	opportunistic_pathogen	92.63	78	draft	100	1.3	complete by definition (isolate)			100
RS_GCF_010727325.1	GCF_010727325.1	GTDB reference	Cultured isolate	Mycobacterium alvei	RGM (large-genome)	6.017	66.11	89.97	11.67	present	present	absent					Mycolicibacterium alvei	Mycolicibacterium	non_pathogen	92.01	2	draft	99.74	0.95	complete by definition (isolate)			100
RS_GCF_017876775.1	GCF_017876775.1	GTDB reference	Cultured isolate	Mycobacterium lutetiense	RGM (large-genome)	6.345	65.98	89.15	11.62	present	present	absent					Mycolicibacterium lutetiense	Mycolicibacterium	non_pathogen	91.88	3	draft	99.94	0.37	complete by definition (isolate)			100
RS_GCF_011745145.1	GCF_011745145.1	GTDB reference	MAG / uncultured	Mycobacterium sp011745145	RGM (large-genome)	6.382	66.09	91.47	11.63	present	present	absent					Mycobacterium sp. DL440	not validly named	non_pathogen	92.42	1	closed	99.97	1.2	complete by definition (closed)			100
RS_GCF_040655355.1	GCF_040655355.1	GTDB reference	MAG / uncultured	Mycobacterium sp040655355	RGM (large-genome)	6.619	66.31	91.66	11.54	present	present	absent					Mycobacterium sp. NPDC050441	not validly named	non_pathogen	92.69	23	draft	99.89	2.31	CheckM2 v1.0.1 (this study)	100	0.14	100
RS_GCF_000455325.1	GCF_000455325.1	GTDB reference	NTM (isolate)	Mycobacterium septicum	RGM (large-genome)	6.909	66.73	89.81	11.6	present	present	absent					Mycolicibacterium septicum DSM 44393	Mycolicibacterium	opportunistic_pathogen	92.38	7	draft	97.61	1.26	complete by definition (isolate)			100
RS_GCF_003855255.1	GCF_003855255.1	GTDB reference	Cultured isolate	Mycobacterium nivoides	RGM (large-genome)	6.906	66.57	91.6	11.59	present	present	absent					Mycolicibacterium nivoides	Mycolicibacterium	non_pathogen	92.75	1	closed	99.83	1.69	complete by definition (isolate)			100
RS_GCF_004762045.1	GCF_004762045.1	GTDB reference	MAG / uncultured	Mycobacterium sp004762045	RGM (large-genome)	6.608	66.43	91.36	11.54	present	present	absent					Mycobacterium sp. DL99	not validly named	non_pathogen	92.51	7	draft	99.72	1.52	CheckM2 v1.0.1 (this study)	100	0.05	100
RS_GCF_000426065.1	GCF_000426065.1	GTDB reference	MAG / uncultured	Mycobacterium sp000426065	RGM (large-genome)	6.657	66.28	91.71	11.58	present	present	absent					Mycobacterium sp. URHD0025	not validly named	non_pathogen	93.02	30	draft	99.79	1.59	CheckM2 v1.0.1 (this study)	100	0.01	100
RS_GCF_000805385.1	GCF_000805385.1	GTDB reference	Cultured isolate	Mycobacterium setense	RGM (large-genome)	6.265	66.42	91.88	11.63	present	present	absent					Mycolicibacterium setense	Mycolicibacterium	non_pathogen	93.1	21	draft	99.83	1.18	complete by definition (isolate)			100
RS_GCF_000723385.1	GCF_000723385.1	GTDB reference	Cultured isolate	Mycobacterium conceptionense	RGM (large-genome)	6.14	66.57	89.94	11.61	present	present	absent					Mycolicibacterium farcinogenes	Mycolicibacterium	non_pathogen	93.15	5	draft	98.23	1.59	complete by definition (isolate)			100
RS_GCF_001942625.1	GCF_001942625.1	GTDB reference	Cultured isolate	Mycobacterium syngnathidarum	RGM (large-genome)	6.344	66.19	90.99	11.66	present	present	absent					Mycobacterium syngnathidarum	Mycobacterium	non_pathogen	92.42	93	draft	99.58	1.17	complete by definition (isolate)			100
RS_GCF_022179545.1	GCF_022179545.1	GTDB reference	NTM (isolate)	Mycobacterium fortuitum	RGM (large-genome)	6.406	66.19	90.26	11.57	present	present	absent					Mycolicibacterium fortuitum subsp. fortuitum	Mycolicibacterium	opportunistic_pathogen	92.93	1	closed	99.31	3.29	complete by definition (isolate)			100
spire_mag_00975328.fa	spire_mag_00975328	SPIRE MAG	MAG / uncultured	Mycobacterium fortuitum	RGM (large-genome)	7.471	65.93	91.96	11.51	present	present	absent		97.34	4.49	anthropogenic	not applicable (MAG)	not applicable (MAG)	MAG	91.96	609	draft			CheckM2 v1.0.1 (this study)	96.94	4.48	96.94
spire_mag_01196294.fa	spire_mag_01196294	SPIRE MAG	MAG / uncultured	Mycobacterium fortuitum	RGM (large-genome)	6.594	66.11	92.7	11.55	present	present	absent		99.99	0.38		not applicable (MAG)	not applicable (MAG)	MAG	92.7	57	draft			CheckM2 v1.0.1 (this study)	99.99	0.37	99.99
GB_GCA_025821245.1	GCA_025821245.1	GTDB reference	NTM (isolate)	Mycobacterium houstonense	RGM (large-genome)	6.007	67.27	63.62	11.61	present	present	absent					Mycolicibacterium farcinogenes	Mycolicibacterium	opportunistic_pathogen	89.97	567	draft	75.55	0.23	complete by definition (isolate)			100
RS_GCF_030486405.1	GCF_030486405.1	GTDB reference	MAG / uncultured	Mycobacterium sp030486405	RGM (large-genome)	6.489	67.05	91.09	11.67	present	present	absent					Mycolicibacterium sp. HK-90	not validly named	non_pathogen	92.65	1	closed	100	2.46	complete by definition (closed)			100
RS_GCF_019050325.1	GCF_019050325.1	GTDB reference	Cultured isolate	Mycobacterium fortunisiensis	RGM (large-genome)	5.49	67.32	92.11	11.61	present	present	absent					[Mycobacterium] fortunisiensis	not validly named	non_pathogen	92.8	28	draft	99.77	0.73	complete by definition (isolate)			100
RS_GCF_001953975.1	GCF_001953975.1	GTDB reference	MAG / uncultured	Mycobacterium sp001953975	RGM (large-genome)	5.56	66.62	91.6	11.7	present	present	absent					Mycobacterium sp. NS-7484	not validly named	non_pathogen	92.86	143	draft	99	1.25	CheckM2 v1.0.1 (this study)	100	0.01	100
