genome_id_or_accession	clade3	kind	species	pseudogenes_bakta
GCF_002101885.1	SGM	cultured isolate	Mycobacterium senuense	2
GCF_002102155.1	SGM	cultured isolate	Mycobacterium europaeum	6
GCF_002102175.1	SGM	cultured isolate	Mycobacterium gastri	18
GCF_002102185.1	SGM	cultured isolate	Mycobacterium fragae	7
GCF_002102255.1	SGM	cultured isolate	Mycobacterium nebraskense	5
GCF_002102265.1	SGM	cultured isolate	Mycobacterium longobardum	6
GCF_002102355.1	SGM	cultured isolate	Mycobacterium sherrisii	27
GCF_002102395.1	SGM	cultured isolate	Mycobacterium triviale	2
GCF_002104765.1	SGM	cultured isolate	Mycobacterium vulneris	27
GCF_002104795.1	SGM	cultured isolate	Mycobacterium koreense	3
GCF_002105755.1	SGM	cultured isolate	Mycobacterium colombiense	44
GCF_002116635.1	SGM	cultured isolate	Mycobacterium szulgai	8
GCF_002356315.1	SGM	cultured isolate	Mycobacterium shigaense	1
GCF_002705925.1	SGM	cultured isolate	Mycobacterium ostraviense	43
GCF_003284925.1	SGM	cultured isolate	Mycobacterium algericum_A	4
GCF_003284935.1	SGM	cultured isolate	Mycobacterium arosiense_A	8
GCF_003284975.1	SGM	cultured isolate	Mycobacterium europaeum_A	8
GCF_003391395.1	SGM	cultured isolate	Mycobacterium marinum	20
GCF_003408705.1	SGM	cultured isolate	Mycobacterium uberis	12
GCF_003614435.1	SGM	cultured isolate	Mycobacterium paragordonae	5
GCF_007714205.1	SGM	cultured isolate	Mycobacterium helveticum	16
GCF_008370645.1	SGM	cultured isolate	Mycobacterium simiae_A	19
GCF_009741445.1	SGM	cultured isolate	Mycobacterium avium	26
GCF_009936235.1	SGM	cultured isolate	Mycobacterium xenopi	4
GCF_010723305.1	SGM	cultured isolate	Mycobacterium botniense	6
GCF_010723575.1	SGM	cultured isolate	Mycobacterium bourgelatii	3
GCF_010727125.1	SGM	cultured isolate	Mycobacterium terrae	2
GCF_010727605.1	SGM	cultured isolate	Mycobacterium simiae	9
GCF_010727945.1	SGM	cultured isolate	Mycobacterium cookii	0
GCF_010728725.1	SGM	cultured isolate	Mycobacterium branderi	16
GCF_010729105.1	SGM	cultured isolate	Mycobacterium saskatchewanense	13
GCF_010729485.1	SGM	cultured isolate	Mycobacterium hiberniae	4
GCF_010730055.1	SGM	cultured isolate	Mycobacterium shinjukuense	2
GCF_010730195.1	SGM	cultured isolate	Mycobacterium conspicuum	0
GCF_010730355.1	SGM	cultured isolate	Mycobacterium florentinum	15
GCF_010730575.1	SGM	cultured isolate	Mycobacterium parmense	3
GCF_010730745.1	SGM	cultured isolate	Mycobacterium heidelbergense	15
GCF_010731535.1	SGM	cultured isolate	Mycobacterium lacus	3
GCF_010731595.1	SGM	cultured isolate	Mycobacterium seoulense	3
GCF_010731635.1	SGM	cultured isolate	Mycobacterium noviomagense	2
GCF_010731655.1	SGM	cultured isolate	Mycobacterium paraseoulense	16
GCF_010731675.1	SGM	cultured isolate	Mycobacterium marseillense	14
GCF_010731715.1	SGM	cultured isolate	Mycobacterium stomatepiae	9
GCF_010731755.1	SGM	cultured isolate	Mycobacterium minnesotense	6
GCF_010731775.1	SGM	cultured isolate	Mycobacterium mantenii	26
GCF_013466425.1	SGM	cultured isolate	Mycobacterium vicinigordonae	2
GCF_015689175.1	SGM	cultured isolate	Mycobacterium kubicae	13
GCF_016592155.1	SGM	cultured isolate	Mycobacterium heckeshornense	0
GCF_017086405.1	SGM	cultured isolate	Mycobacterium gordonae_D	33
GCF_018278905.1	SGM	cultured isolate	Mycobacterium spongiae	4
GCF_018455725.1	SGM	cultured isolate	Mycobacterium acidiphilum	2
GCF_019645815.1	SGM	cultured isolate	Mycobacterium heraklionense	0
GCF_019645855.1	SGM	cultured isolate	Mycobacterium malmoense	9
GCF_019668465.1	SGM	cultured isolate	Mycobacterium senriense	11
GCF_020172685.2	SGM	cultured isolate	Mycobacterium nativiensis	3
GCF_020181595.2	SGM	cultured isolate	Mycobacterium vasticus	5
GCF_020181615.2	SGM	cultured isolate	Mycobacterium crassicus	2
GCF_020181635.2	SGM	cultured isolate	Mycobacterium zoologicum	6
GCF_022370835.2	SGM	cultured isolate	Mycobacterium parakoreense	2
GCF_022374895.2	SGM	cultured isolate	Mycobacterium lentiflavum	3
GCF_022374935.2	SGM	cultured isolate	Mycobacterium virginiense	5
GCF_022430545.2	SGM	cultured isolate	Mycobacterium paraterrae	4
GCF_025822405.1	SGM	cultured isolate	Mycobacterium angelicum	13
GCF_025822865.1	SGM	cultured isolate	Mycobacterium paraffinicum	19
GCF_025822885.1	SGM	cultured isolate	Mycobacterium shimoidei	5
GCF_025823255.1	SGM	cultured isolate	Mycobacterium montefiorense	48
GCF_030252325.1	SGM	cultured isolate	Mycobacterium wuenschmannii	3
GCF_031583025.1	SGM	cultured isolate	Mycobacterium gordonae_B	7
GCF_900078675.2	SGM	cultured isolate	Mycobacterium interjectum	33
GCF_900078685.2	SGM	cultured isolate	Mycobacterium icosiumassiliensis	27
GCF_900157365.1	SGM	cultured isolate	Mycobacterium numidiamassiliense	8
GCF_900157375.1	SGM	cultured isolate	Mycobacterium rhizamassiliense	10
GCF_900157385.1	SGM	cultured isolate	Mycobacterium terramassiliense	7
GCF_900176255.2	SGM	cultured isolate	Mycobacterium ahvazicum	6
GCF_900232995.1	SGM	cultured isolate	Mycobacterium simulans	20
GCF_900292015.1	SGM	cultured isolate	Mycobacterium basiliense	3
GCF_900566055.1	SGM	cultured isolate	Mycobacterium innocens	3
GCF_900566075.1	SGM	cultured isolate	Mycobacterium pseudokansasii	0
GCF_900566085.1	SGM	cultured isolate	Mycobacterium attenuatum	24
GCF_902168065.1	SGM	cultured isolate	Mycobacterium tilburgii	213
GCF_910591625.1	SGM	cultured isolate	Mycobacterium methanotrophicum	50
GCF_963853645.1	SGM	cultured isolate	Mycobacterium riyadhense	14
GCF_963853665.1	SGM	cultured isolate	Mycobacterium decipiens	8
spire_mag_01947705	FSM	MAG	Mycobacterium sp037138275	2
